year,symbol,close
2021,TMO,667.239990234375
2022,TMO,550.6900024414062
2023,TMO,530.7899780273438
2019,LIN,212.89999389648438
2020,LIN,263.510009765625
2021,LIN,346.42999267578125
2022,LIN,326.17999267578125
2023,LIN,410.7099914550781
2019,MCD,197.61000061035156
2020,MCD,214.5800018310547
2021,MCD,268.07000732421875
2022,MCD,263.5299987792969
2023,MCD,296.510009765625
2019,NVS,94.69000244140625
2020,NVS,94.43000030517578
2021,NVS,87.47000122070312
2022,NVS,90.72000122070312
2023,NVS,100.97000122070312
2019,ABT,86.86000061035156
2020,ABT,109.48999786376953
2021,ABT,140.74000549316406
2022,ABT,109.79000091552734
2023,ABT,110.06999969482422
2019,DIS,144.6300048828125
2020,DIS,181.17999267578125
2021,DIS,154.88999938964844
