fiscal_date,sales,cost_of_goods,gross_profit,operating_income,other_income_expense,net_income,eps_basic,eps_diluted,basic_shares_outstanding,diluted_shares_outstanding,ebitda,net_income_continuous_operations,minority_interests,preferred_stock_dividends,research_and_development,selling_general_and_administrative,other_operating_expenses,income,expense,symbol
31/01/2021,559151000000.0,420315000000.0,138836000000.0,22548000000.0,210000000.0,13706000000.0,4.77,4.75,2831000000.0,2831000000.0,34031000000.0,13706000000.0,-196000000.0,,,116288000000.0,,121000000.0,2315000000.0,WMT
31/12/2023,371622000000.0,280664000000.0,90958000000.0,32358000000.0,,23144000000.0,24.12,23.86,928000000.0,928000000.0,36330000000.0,23144000000.0,-763000000.0,,,,54628000000.0,,3246000000.0,UNH
31/12/2022,324162000000.0,244545000000.0,79617000000.0,28435000000.0,2030000000.0,20639000000.0,21.541756,21.18,934000000.0,934000000.0,31835000000.0,20639000000.0,-519000000.0,,,,47782000000.0,,2092000000.0,UNH
31/12/2021,287597000000.0,217945000000.0,69652000000.0,23970000000.0,2324000000.0,17732000000.0,18.33,18.08,943000000.0,943000000.0,27073000000.0,17732000000.0,-447000000.0,,,,42579000000.0,,1660000000.0,UNH
31/12/2020,257141000000.0,190141000000.0,67000000000.0,22405000000.0,1502000000.0,15769000000.0,16.282241,16.03,946000000.0,946000000.0,25296000000.0,15769000000.0,-366000000.0,,,,41704000000.0,,1663000000.0,UNH
31/12/2023,25098000000.0,6022000000.0,19076000000.0,14630000000.0,-416000000.0,11195000000.0,,,,,15422000000.0,11195000000.0,,,,3647000000.0,,,575000000.0,MA
31/12/2022,22237000000.0,5263000000.0,16974000000.0,12722000000.0,-519000000.0,9930000000.0,10.26,10.22,968000000.0,968000000.0,13495000000.0,9930000000.0,,,,3502000000.0,,,471000000.0,MA
31/12/2021,18884000000.0,4489000000.0,14395000000.0,10227000000.0,511000000.0,8687000000.0,8.79,8.76,988000000.0,988000000.0,10953000000.0,8687000000.0,,,,3442000000.0,,,431000000.0,MA
31/12/2020,15301000000.0,3787000000.0,11514000000.0,8163000000.0,-23000000.0,6411000000.0,6.4,6.37,1002000000.0,1002000000.0,8748000000.0,6411000000.0,,,,2771000000.0,,,380000000.0,MA
31/12/2023,334697000000.0,250555000000.0,84142000000.0,43747000000.0,9885000000.0,37354000000.0,8.89,8.89,4052000000.0,4052000000.0,74273000000.0,37354000000.0,-1344000000.0,,,10633000000.0,751000000.0,,849000000.0,XOM
31/12/2022,398675000000.0,295608000000.0,103067000000.0,63546000000.0,15005000000.0,57577000000.0,13.26,13.26,4205000000.0,4205000000.0,102591000000.0,57577000000.0,-1837000000.0,,,10577000000.0,1025000000.0,,798000000.0,XOM
31/12/2021,276692000000.0,211806000000.0,64886000000.0,23233000000.0,8948000000.0,23598000000.0,5.39,5.39,4275000000.0,4275000000.0,52788000000.0,23598000000.0,-558000000.0,,,10360000000.0,1054000000.0,,947000000.0,XOM
31/12/2020,178574000000.0,170447000000.0,8127000000.0,-30653000000.0,2928000000.0,-23251000000.0,-5.25,-5.25,4271000000.0,4271000000.0,18284000000.0,-23251000000.0,811000000.0,,,11373000000.0,1285000000.0,,1158000000.0,XOM
31/12/2023,27558500000.0,13422400000.0,14136100000.0,9042300000.0,,7839000000.0,19.91,19.91,393800000.0,393800000.0,9976000000.0,7839000000.0,,,3980600000.0,1113200000.0,,193900000.0,152700000.0,ASML
31/12/2022,21173400000.0,10473300000.0,10700100000.0,6500700000.0,,5624200000.0,14.14,14.13,397700000.0,397700000.0,7100500000.0,5624200000.0,,,3253500000.0,945900000.0,,16200000.0,60800000.0,ASML
31/12/2021,18611000000.0,8802000000.0,9809000000.0,6536400000.0,213700000.0,5883200000.0,14.36,14.34,409800000.0,409800000.0,7017400000.0,5883200000.0,,,2547000000.0,725600000.0,,10000000.0,54600000.0,ASML
31/12/2020,13978500000.0,7181300000.0,6797200000.0,4051500000.0,,3553700000.0,8.49,8.48,418300000.0,418300000.0,4550700000.0,3553700000.0,,,2200800000.0,544900000.0,,8400000.0,43300000.0,ASML
31/12/2023,85159000000.0,26553000000.0,58606000000.0,22009000000.0,-7402000000.0,35153000000.0,14.604014,13.72,2407078000.0,2407078000.0,32322000000.0,35153000000.0,,,15085000000.0,21512000000.0,,1261000000.0,772000000.0,JNJ
31/12/2022,79990000000.0,24596000000.0,55394000000.0,21013000000.0,-1858000000.0,17941000000.0,6.83,6.73,2625200000.0,2625200000.0,30163000000.0,17941000000.0,,,14135000000.0,20246000000.0,,490000000.0,276000000.0,JNJ
31/12/2021,78740000000.0,23402000000.0,55338000000.0,20943000000.0,-1635000000.0,20878000000.0,7.93,7.81,2632100000.0,2632100000.0,27860000000.0,20878000000.0,,,14277000000.0,20118000000.0,,53000000.0,183000000.0,JNJ
31/12/2020,82584000000.0,28427000000.0,54157000000.0,19733000000.0,-3146000000.0,14714000000.0,5.589273,5.51,2632512000.0,2632512000.0,24176000000.0,14714000000.0,,,12340000000.0,22084000000.0,,111000000.0,201000000.0,JNJ
31/01/2024,,,,,,,15.16,15.11,999000000.0,999000000.0,,,,,,,,,,HD
31/01/2023,157403000000.0,104625000000.0,52778000000.0,24039000000.0,,17105000000.0,16.74,16.69,1022000000.0,1022000000.0,27069000000.0,17105000000.0,,,,26284000000.0,,55000000.0,1617000000.0,HD
31/01/2022,151157000000.0,100325000000.0,50832000000.0,23040000000.0,,16433000000.0,15.59,15.53,1054000000.0,1054000000.0,25946000000.0,16433000000.0,,,,25406000000.0,,44000000.0,1347000000.0,HD
